chipid(4);chip_size(3);Erase_Algo(2);Write_Algo(2);chip_name(11);chip_VCC(2);man_name(18)
BFB7;1;1;1;SST39SF040 ;5;SST               
BF53;4;2;1;SST36VF3204;3;SST               
BF5A;4;2;1;SST39VF3202;3;SST               
BF5B;4;2;1;SST39VF3201;3;SST               
BF6B;8;2;1;SST38VF6401;3;SST               
2056;4;2;2;M29W320ET  ;3;STMicroelectronics
2057;4;2;2;M29W320EB  ;3;STMicroelectronics
20ED;8;2;2;M29W640D   ;3;STMicroelectronics
20FD;8;2;2;M29W640D   ;3;STMicroelectronics
C2CB;8;2;2;MX29LV640EB;3;Macronix          
C2C9;8;2;3;MX29LV640  ;3;Macronix          
C2A7;4;2;3;MX29LV320  ;3;Macronix          
C2A8;4;2;3;MX29LV320  ;3;Macronix          
C2F9;4;2;5;MX29L3211  ;3;Macronix          
C2FC;8;2;2;MX26L6420  ;3;Macronix          
017E;8;3;4;S29GL064N90;3;Spansion          
98C2;2;2;2;TC58FVT160F;3;Toshiba
2C00;1;3;2;MX29F1610  ;5;Macronix
           ;;;;;;
